"","host_id","id","host_since","neighborhood_cleaned","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","review_scores_rating","review_scores_value","revenue"
"3138",9085127,1723551,2013-09-27,"Center-East","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",80,2,25,2,95,10,22720
"3139",9094693,1921027,2013-09-27,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,10,7,95,9,40320
"3140",9102829,3452141,2013-09-28,"Slotervaart","Apartment","Private room",2,1,1,1,"Real Bed",55,1,0,2,93,9,3960
"3141",9103042,2353266,2013-09-28,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,0,2,90,9,13172
"3142",9103350,1848910,2013-09-28,"Former East","Apartment","Entire home/apt",4,1,2,2,"Real Bed",160,1,0,4,99,9,3840
"3143",9115172,1729960,2013-09-29,"Center-East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",130,1,0,2,95,10,2600
"3144",9116113,1730182,2013-09-29,"Forest and Shade","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",85,1,0,2,96,9,3740
"3145",9121131,1731246,2013-09-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",140,1,0,1,96,9,2800
"3146",9123787,3473943,2013-09-29,"Forest and Shade","Apartment","Entire home/apt",3,1,1,1,"Real Bed",100,2,20,2,90,8,1920
"3147",9123787,1731776,2013-09-29,"Forest and Shade","Apartment","Entire home/apt",3,1,1,1,"Real Bed",100,2,20,2,93,9,1440
"3148",9131925,4519641,2013-09-01,"Aker - New Locks","House","Entire home/apt",2,1,1,1,"Real Bed",59,1,0,1,93,8,354
"3149",9132328,4182015,2013-09-01,"Buitenveldert - South axis","Apartment","Private room",2,1.5,1,1,"Real Bed",50,1,10,1,92,9,2160
"3150",9133729,1733772,2013-09-01,"Former North","Other","Entire home/apt",2,1,1,1,"Real Bed",80,1,0,3,96,9,5280
"3151",9134614,4542707,2013-09-01,"Westerpark","Apartment","Entire home/apt",6,1,2,3,"Real Bed",80,2,27,1,100,9,856
"3152",9134985,1734298,2013-09-01,"Center-East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",130,1,50,2,95,10,10080
"3153",9136787,1734564,2013-09-01,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,0,2,97,10,3600
"3154",9136823,3572132,2013-09-01,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",84,2,25,3,100,8,1962
"3155",9137568,1734769,2013-09-01,"Geuzenveld - Slotermeer","Apartment","Entire home/apt",6,1,3,5,"Real Bed",195,4,40,3,97,10,8460
"3156",9139235,1765677,2013-09-01,"Center-West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",175,2,25,2,89,9,48000
"3157",9139235,2983921,2013-09-01,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,1,0,2,86,8,10000
"3158",9146073,1737316,2013-09-01,"Former East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,1,0,2,93,9,2720
"3159",9148155,1737091,2013-09-01,"Center-East","Apartment","Private room",2,1,1,1,"Real Bed",150,2,40,1,100,10,300
"3160",9156219,1738720,2013-01-01,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",90,1,0,2,100,9,2160
"3161",9161170,3715639,2013-01-01,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,2,1,"Real Bed",95,2,25,3,100,9,2280
"3162",9161697,2631118,2013-01-01,"Center-West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",225,1,0,3,96,9,22950
"3163",9164546,2892186,2013-01-01,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",100,1,0,3,96,9,6000
"3164",721345,4281373,2011-06-01,"Pipe - Rivierenbuurt","Boat","Entire home/apt",4,1,2,4,"Real Bed",160,4,50,1,93,8,5760
"3165",9166182,1741106,2013-01-01,"The Baarsjes - Old West","House","Entire home/apt",3,1,1,3,"Real Bed",110,2,30,2,100,10,2240
"3166",9166444,3390843,2013-01-01,"Center-West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",209,1,0,3,85,9,5016
"3167",9169958,2196966,2013-01-01,"Center-East","Apartment","Entire home/apt",4,1,2,3,"Real Bed",96,1,0,4,100,8,768
"3168",9171269,1742119,2013-01-01,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,1,2,"Real Bed",100,2,10,2,90,8,1760
"3169",9181817,1744253,2013-02-02,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,1,0,2,97,10,2400
"3170",9183596,1744656,2013-02-02,"Former East","Apartment","Entire home/apt",2,1,1,2,"Real Bed",95,1,0,3,100,10,1710
"3171",9188715,1952281,2013-02-02,"Center-East","Apartment","Private room",2,1.5,1,1,"Real Bed",75,1,20,2,94,9,3040
"3172",9191210,1746388,2013-02-02,"South","Apartment","Entire home/apt",4,1,2,2,"Real Bed",135,1,0,3,90,9,3240
"3173",9203493,1749237,2013-03-03,"South","Apartment","Entire home/apt",2,1,1,1,"Real Bed",99,1,0,2,97,10,6336
"3174",722128,149747,2011-06-01,"Center-West","Apartment","Entire home/apt",2,1,2,2,"Real Bed",170,1,0,5,97,10,39100
"3175",9208305,1750560,2013-03-03,"Center-East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,1,0,1,100,10,300
"3176",9210809,3004220,2013-03-03,"Westerpark","Apartment","Entire home/apt",4,1,2,4,"Real Bed",175,2,0,2,89,9,13300
"3177",9219776,1752692,2013-04-04,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,4,"Real Bed",250,2,0,3,100,10,3000
"3178",9225306,3484708,2013-04-04,"Slotervaart","Apartment","Private room",2,1,1,1,"Real Bed",79,2,20,3,91,9,8058
"3179",9231815,1758660,2013-04-04,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,2,1,"Real Bed",125,2,40,4,94,9,2000
"3180",9238680,2180729,2013-05-05,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,2,4,"Real Bed",120,2,25,2,100,9,4060
"3181",9254989,1959340,2013-06-06,"Docklands - Indian Neighborhood","Boat","Entire home/apt",4,1,1,2,"Real Bed",120,2,30,2,99,9,12000
"3182",9261386,1761968,2013-06-06,"Westerpark","Apartment","Entire home/apt",3,1,2,2,"Real Bed",95,2,15,3,95,9,14520
"3183",725727,150885,2011-06-21,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,1,2,"Real Bed",129,2,25,2,100,10,3080
"3184",9263305,1762277,2013-06-06,"Forest and Shade","Apartment","Entire home/apt",2,1,1,1,"Real Bed",99,2,50,3,100,10,594
"3185",9263706,3470249,2013-06-06,"Westerpark","Apartment","Entire home/apt",3,1,2,3,"Real Bed",109,1,0,2,96,10,4796
"3186",9266296,2133234,2013-06-06,"Docklands - Indian Neighborhood","Boat","Entire home/apt",2,1,0,1,"Real Bed",90,1,0,2,97,9,23760
"3187",9275484,2611438,2013-07-07,"Center-East","Bed & Breakfast","Private room",2,1,1,1,"Real Bed",73,2,20,1,94,9,10366
